Ajit Kumar,2020,NA,"Information security, Malware, Machine learning, Smart grid security, Privacy preserving ML",NA,https://www.google.com/url?q=https%3A%2F%2Fdrajitkumar.github.io%2F&sa=D&sntz=1&usg=AOvVaw2kaoNH3D380PBKYMmHP0MX
Sneha Kanchan,2021,NA,"Information security, Cryptography, Group signature, Federated learning",NA,NA
Saqib Kazmi,2019,NA,Distributed intelligent energy network.,NA,NA
Mazhar Ali,2021,NA,NA,NA,NA
Ankit Kumar Singh,2021,NA,NA,NA,NA
Abrar Ahmed,2021,NA,NA,NA,NA
Jun Yong YOON,2022,NA,NA,NA,NA
JANG Jae Won,2022,NA,NA,NA,NA
KIM  Jae Heon,2022,NA,NA,NA,NA
Kyeong Joo Jung,2018,2018,NA,"PhD Student @ Computer Science, Ohio State University, USA.",https://www.google.com/url?q=https%3A%2F%2Fpeople.engineering.osu.edu%2Fpeople%2Fjung.759&sa=D&sntz=1&usg=AOvVaw0JPo8OCRTImCU30-ph913c
Thejaswini M,2017,2018,NA,"Assistant Professor @ Computer Science and Engineering, IIIT Bhagalpur, India.",https://www.google.com/url?q=https%3A%2F%2Fiiitbh.ac.in%2Ffaccse&sa=D&sntz=1&usg=AOvVaw0uJF-G-HnQT7fV9mQ20Cwi
Pratik Musale,2018,2018,NA,"PhD Student @ Computer Science, University of Pittsburgh, USA. ",http://www.google.com/url?q=http%3A%2F%2Fpeople.cs.pitt.edu%2F~prm73%2Findex.html&sa=D&sntz=1&usg=AOvVaw08ehYVl-6lfK0ldMBVB9QW
Poria Hasanpor,2015,2016,NA,"Development Manager @ Enerim Oy, Helsinki, Finland",https://www.google.com/url?q=https%3A%2F%2Ffi.linkedin.com%2Fin%2Fporiahd&sa=D&sntz=1&usg=AOvVaw2I3OKhkScAmvyMUCfwUT-P
Duin Baek,2014,2019,NA,"PhD Student @ Computer Science, Stony Brook University, USA.",NA
Tan Le,2013,2017,NA,"PhD Student @ Computer Science, Stony Brook University, USA.",NA
Neetesh Saxena,2014,2015,NA,"Assistant Professor @ Computer Science and Informatics, Cardiff University, UK.",https://www.google.com/url?q=https%3A%2F%2Fsites.google.com%2Fsite%2Fneeteshsaxena%2Fhome&sa=D&sntz=1&usg=AOvVaw3p_4TBTREGjU8keMFAD8yz
Saba Al-Rubaye,2014,2015,NA,"Senior Lecturer @ Autonomous and Connected Systems, Cranfield University, UK. ",https://www.google.com/url?q=https%3A%2F%2Fwww.cranfield.ac.uk%2Fpeople%2Fdr-saba-alrubaye-21644437&sa=D&sntz=1&usg=AOvVaw13rZkNOyuNc841CObWDZzS
Shinyoung Cho,2013,2016,NA,"Assistant Professor @ Computer Science Smith College, MA, USA",https://www.google.com/url?q=https%3A%2F%2Fwww.smith.edu%2Facademics%2Ffaculty%2Fshinyoung-cho&sa=D&sntz=1&usg=AOvVaw02B4lcXdy4ee64EFWHEXF-
